Jahr;Jahr segment;Monat;;Sonnenflecken
1886;1.886.204;3;;  53.3
1886;1.886.288;4;;  50.0
1886;1.886.371;5;;  45.7
1886;1.886.455;6;;  43.0
1886;1.886.538;7;;  41.0
1886;1.886.623;8;;  38.8
1886;1.886.707;9;;  34.2
1886;1.886.790;10;;  28.0
1886;1.886.874;11;;  24.7
1886;1.886.958;12;;  23.1
1887;1.887.042;1;;  21.9
1887;1.887.123;2;;  21.7
1887;1.887.204;3;;  21.0
1887;1.887.288;4;;  19.9
1887;1.887.371;5;;  20.2
1887;1.887.455;6;;  21.2
1887;1.887.538;7;;  21.9
1887;1.887.623;8;;  21.7
1887;1.887.707;9;;  21.5
1887;1.887.790;10;;  21.6
1887;1.887.874;11;;  20.6
1887;1.887.958;12;;  19.1
1888;1.888.042;1;;  17.1
1888;1.888.124;2;;  14.4
1888;1.888.206;3;;  13.2
1888;1.888.290;4;;  13.0
1888;1.888.373;5;;  12.9
1888;1.888.456;6;;  12.2
1888;1.888.540;7;;  10.4
1888;1.888.624;8;;   9.7
1888;1.888.708;9;;   9.7
1888;1.888.791;10;;   9.5
1888;1.888.874;11;;   9.2
1888;1.888.958;12;;   8.8
1889;1.889.042;1;;   9.2
1889;1.889.123;2;;  10.9
1889;1.889.204;3;;  12.0
1889;1.889.288;4;;  11.8
1889;1.889.371;5;;  11.1
1889;1.889.455;6;;  10.4
1889;1.889.538;7;;  10.7
1889;1.889.623;8;;  10.5
1889;1.889.707;9;;   9.8
1889;1.889.790;10;;   9.5
1889;1.889.874;11;;   9.5
1889;1.889.958;12;;   9.3
1890;1.890.042;1;;   9.1
1890;1.890.123;2;;   8.4
1890;1.890.204;3;;   8.3
1890;1.890.288;4;;   9.7
1890;1.890.371;5;;  10.9
1890;1.890.455;6;;  11.7
1890;1.890.538;7;;  12.3
1890;1.890.623;8;;  14.4
1890;1.890.707;9;;  16.2
1890;1.890.790;10;;  17.9
1890;1.890.874;11;;  21.7
1890;1.890.958;12;;  27.5
1891;1.891.042;1;;  34.1
1891;1.891.123;2;;  39.0
1891;1.891.204;3;;  43.3
1891;1.891.288;4;;  48.7
1891;1.891.371;5;;  53.7
1891;1.891.455;6;;  57.7
1891;1.891.538;7;;  63.2
1891;1.891.623;8;;  70.8
1891;1.891.707;9;;  77.3
1891;1.891.790;10;;  83.5
1891;1.891.874;11;;  89.5
1891;1.891.958;12;;  94.2
1892;1.892.042;1;;  97.4
1892;1.892.124;2;; 103.3
1892;1.892.206;3;; 108.7
1892;1.892.290;4;; 110.6
1892;1.892.373;5;; 113.6
1892;1.892.456;6;; 118.4
1892;1.892.540;7;; 122.0
1892;1.892.624;8;; 122.2
1892;1.892.708;9;; 123.1
1892;1.892.791;10;; 125.5
1892;1.892.874;11;; 127.2
1892;1.892.958;12;; 128.5
1893;1.893.042;1;; 130.2
1893;1.893.123;2;; 133.0
1893;1.893.204;3;; 136.0
1893;1.893.288;4;; 137.7
1893;1.893.371;5;; 139.0
1893;1.893.455;6;; 140.8
1893;1.893.538;7;; 142.4
1893;1.893.623;8;; 143.8
1893;1.893.707;9;; 143.6
1893;1.893.790;10;; 142.3
1893;1.893.874;11;; 142.9
1893;1.893.958;12;; 144.7
1894;1.894.042;1;; 146.5
1894;1.894.123;2;; 143.7
1894;1.894.204;3;; 138.7
1894;1.894.288;4;; 137.6
1894;1.894.371;5;; 136.0
1894;1.894.455;6;; 132.4
1894;1.894.538;7;; 128.6
1894;1.894.623;8;; 126.0
1894;1.894.707;9;; 125.4
1894;1.894.790;10;; 125.7
1894;1.894.874;11;; 123.0
1894;1.894.958;12;; 118.8
1895;1.895.042;1;; 112.8
1895;1.895.123;2;; 108.7
1895;1.895.204;3;; 108.0
1895;1.895.288;4;; 106.9
1895;1.895.371;5;; 105.8
1895;1.895.455;6;; 105.9
1895;1.895.538;7;; 104.2
1895;1.895.623;8;; 101.2
1895;1.895.707;9;;  99.9
1895;1.895.790;10;;  96.9
1895;1.895.874;11;;  91.9
1895;1.895.958;12;;  87.5
1896;1.896.042;1;;  85.8
1896;1.896.124;2;;  82.7
1896;1.896.206;3;;  80.1
1896;1.896.290;4;;  77.6
1896;1.896.373;5;;  74.2
1896;1.896.456;6;;  71.7
1896;1.896.540;7;;  70.5
1896;1.896.624;8;;  69.4
1896;1.896.708;9;;  65.8
1896;1.896.791;10;;  63.4
1896;1.896.874;11;;  62.0
1896;1.896.958;12;;  58.8
1897;1.897.042;1;;  55.0
1897;1.897.123;2;;  53.4
1897;1.897.204;3;;  52.1
1897;1.897.288;4;;  50.2
1897;1.897.371;5;;  47.1
1897;1.897.455;6;;  44.4
1897;1.897.538;7;;  43.1
1897;1.897.623;8;;  42.8
1897;1.897.707;9;;  44.0
1897;1.897.790;10;;  43.5
1897;1.897.874;11;;  42.7
1897;1.897.958;12;;  43.9
1898;1.898.042;1;;  43.3
1898;1.898.123;2;;  42.7
1898;1.898.204;3;;  42.4
1898;1.898.288;4;;  42.9
1898;1.898.371;5;;  45.8
1898;1.898.455;6;;  46.0
1898;1.898.538;7;;  43.8
1898;1.898.623;8;;  41.2
1898;1.898.707;9;;  37.9
1898;1.898.790;10;;  36.4
1898;1.898.874;11;;  35.2
1898;1.898.958;12;;  33.8
1899;1.899.042;1;;  34.0
1899;1.899.123;2;;  32.3
1899;1.899.204;3;;  28.5
1899;1.899.288;4;;  25.2
1899;1.899.371;5;;  22.1
1899;1.899.455;6;;  20.3
1899;1.899.538;7;;  19.5
1899;1.899.623;8;;  19.1
1899;1.899.707;9;;  18.8
1899;1.899.790;10;;  18.2
1899;1.899.874;11;;  18.9
1899;1.899.958;12;;  18.8
1900;1.900.042;1;;  17.9
1900;1.900.123;2;;  17.6
1900;1.900.204;3;;  17.7
1900;1.900.288;4;;  17.7
1900;1.900.371;5;;  17.5
1900;1.900.455;6;;  16.5
1900;1.900.538;7;;  15.2
1900;1.900.623;8;;  13.7
1900;1.900.707;9;;  12.7
1900;1.900.790;10;;  11.3
1900;1.900.874;11;;   9.8
1900;1.900.958;12;;   9.0
1901;1.901.042;1;;   8.1
1901;1.901.123;2;;   7.3
1901;1.901.204;3;;   6.5
1901;1.901.288;4;;   5.4
1901;1.901.371;5;;   4.7
1901;1.901.455;6;;   4.6
1901;1.901.538;7;;   5.0
1901;1.901.623;8;;   5.2
1901;1.901.707;9;;   5.5
1901;1.901.790;10;;   6.1
1901;1.901.874;11;;   5.6
1901;1.901.958;12;;   4.8
1902;1.902.042;1;;   4.5
1902;1.902.123;2;;   4.6
1902;1.902.204;3;;   5.2
1902;1.902.288;4;;   6.5
1902;1.902.371;5;;   7.8
1902;1.902.455;6;;   8.4
1902;1.902.538;7;;   8.6
1902;1.902.623;8;;  10.0
1902;1.902.707;9;;  11.3
1902;1.902.790;10;;  13.1
1902;1.902.874;11;;  15.8
1902;1.902.958;12;;  17.6
1903;1.903.042;1;;  20.5
1903;1.903.123;2;;  24.2
1903;1.903.204;3;;  26.3
1903;1.903.288;4;;  28.1
1903;1.903.371;5;;  32.1
1903;1.903.455;6;;  37.6
1903;1.903.538;7;;  42.3
1903;1.903.623;8;;  44.4
1903;1.903.707;9;;  46.6
1903;1.903.790;10;;  49.4
1903;1.903.874;11;;  52.3
1903;1.903.958;12;;  55.8
1904;1.904.042;1;;  59.1
1904;1.904.124;2;;  62.7
1904;1.904.206;3;;  66.1
1904;1.904.290;4;;  68.5
1904;1.904.373;5;;  69.1
1904;1.904.456;6;;  69.3
1904;1.904.540;7;;  71.5
1904;1.904.624;8;;  77.4
1904;1.904.708;9;;  83.0
1904;1.904.791;10;;  84.1
1904;1.904.874;11;;  84.4
1904;1.904.958;12;;  85.5
1905;1.905.042;1;;  87.6
1905;1.905.123;2;;  89.1
1905;1.905.204;3;;  90.9
1905;1.905.288;4;;  94.4
1905;1.905.371;5;; 100.9
1905;1.905.455;6;; 105.7
1905;1.905.538;7;; 105.1
1905;1.905.623;8;; 100.7
1905;1.905.707;9;;  97.5
1905;1.905.790;10;;  99.1
1905;1.905.874;11;; 100.9
1905;1.905.958;12;; 102.6
1906;1.906.042;1;; 105.7
1906;1.906.123;2;; 107.1
1906;1.906.204;3;; 106.4
1906;1.906.288;4;; 102.2
1906;1.906.371;5;;  93.2
1906;1.906.455;6;;  89.1
1906;1.906.538;7;;  91.9
1906;1.906.623;8;;  99.4
1906;1.906.707;9;; 104.5
1906;1.906.790;10;; 104.0
1906;1.906.874;11;; 102.8
1906;1.906.958;12;; 100.2
1907;1.907.042;1;;  94.9
1907;1.907.123;2;;  91.6
1907;1.907.204;3;;  94.0
1907;1.907.288;4;;  99.4
1907;1.907.371;5;; 104.2
1907;1.907.455;6;; 104.6
1907;1.907.538;7;; 100.8
1907;1.907.623;8;;  93.1
1907;1.907.707;9;;  85.7
1907;1.907.790;10;;  83.8
1907;1.907.874;11;;  84.0
1907;1.907.958;12;;  84.4
1908;1.908.042;1;;  84.3
1908;1.908.124;2;;  86.1
1908;1.908.206;3;;  88.7
1908;1.908.290;4;;  86.6
1908;1.908.373;5;;  83.1
1908;1.908.456;6;;  81.5
1908;1.908.540;7;;  82.2
1908;1.908.624;8;;  84.3
1908;1.908.708;9;;  87.8
1908;1.908.791;10;;  88.6
1908;1.908.874;11;;  86.5
1908;1.908.958;12;;  84.4
1909;1.909.042;1;;  82.4
1909;1.909.123;2;;  77.4
1909;1.909.204;3;;  69.4
1909;1.909.288;4;;  67.9
1909;1.909.371;5;;  70.4
1909;1.909.455;6;;  72.1
1909;1.909.538;7;;  71.0
1909;1.909.623;8;;  67.9
1909;1.909.707;9;;  63.7
1909;1.909.790;10;;  58.9
1909;1.909.874;11;;  56.3
1909;1.909.958;12;;  54.6
1910;1.910.042;1;;  52.4
1910;1.910.123;2;;  50.1
1910;1.910.204;3;;  48.4
1910;1.910.288;4;;  46.2
1910;1.910.371;5;;  41.2
1910;1.910.455;6;;  34.4
1910;1.910.538;7;;  29.4
1910;1.910.623;8;;  26.2
1910;1.910.707;9;;  23.7
1910;1.910.790;10;;  23.3
1910;1.910.874;11;;  23.0
1910;1.910.958;12;;  21.4
1911;1.911.042;1;;  20.0
1911;1.911.123;2;;  18.7
1911;1.911.204;3;;  16.6
1911;1.911.288;4;;  12.6
1911;1.911.371;5;;  10.1
1911;1.911.455;6;;   9.8
1911;1.911.538;7;;   9.3
1911;1.911.623;8;;   8.5
1911;1.911.707;9;;   7.7
1911;1.911.790;10;;   6.6
1911;1.911.874;11;;   5.5
1911;1.911.958;12;;   5.3
1912;1.912.042;1;;   5.4
1912;1.912.124;2;;   5.1
1912;1.912.206;3;;   5.2
1912;1.912.290;4;;   5.7
1912;1.912.373;5;;   5.6
1912;1.912.456;6;;   5.7
1912;1.912.540;7;;   6.1
1912;1.912.624;8;;   6.5
1912;1.912.708;9;;   6.4
1912;1.912.791;10;;   5.8
1912;1.912.874;11;;   5.2
1912;1.912.958;12;;   4.7
1913;1.913.042;1;;   4.3
1913;1.913.123;2;;   4.2
1913;1.913.204;3;;   3.6
1913;1.913.288;4;;   2.9
1913;1.913.371;5;;   2.8
1913;1.913.455;6;;   2.6
1913;1.913.538;7;;   2.5
1913;1.913.623;8;;   2.5
1913;1.913.707;9;;   2.6
1913;1.913.790;10;;   4.0
1913;1.913.874;11;;   5.5
1913;1.913.958;12;;   6.6
1914;1.914.042;1;;   7.7
1914;1.914.123;2;;   8.5
1914;1.914.204;3;;   9.8
1914;1.914.288;4;;  10.9
1914;1.914.371;5;;  12.4
1914;1.914.455;6;;  14.8
1914;1.914.538;7;;  17.5
1914;1.914.623;8;;  21.6
1914;1.914.707;9;;  26.8
1914;1.914.790;10;;  31.0
1914;1.914.874;11;;  34.6
1914;1.914.958;12;;  40.5
1915;1.915.042;1;;  49.1
1915;1.915.123;2;;  58.0
1915;1.915.204;3;;  64.8
1915;1.915.288;4;;  70.5
1915;1.915.371;5;;  75.5
1915;1.915.455;6;;  78.1
1915;1.915.538;7;;  80.5
1915;1.915.623;8;;  83.0
1915;1.915.707;9;;  85.8
1915;1.915.790;10;;  89.9
1915;1.915.874;11;;  94.9
1915;1.915.958;12;;  97.7
1916;1.916.042;1;;  96.4
1916;1.916.124;2;;  92.7
1916;1.916.206;3;;  90.0
1916;1.916.290;4;;  89.5
1916;1.916.373;5;;  91.0
1916;1.916.456;6;;  93.9
1916;1.916.540;7;;  97.2
1916;1.916.624;8;; 100.4
1916;1.916.708;9;; 103.4
1916;1.916.791;10;; 105.6
1916;1.916.874;11;; 108.5
1916;1.916.958;12;; 114.6
1917;1.917.042;1;; 122.4
1917;1.917.123;2;; 135.3
1917;1.917.204;3;; 149.5
1917;1.917.288;4;; 156.8
1917;1.917.371;5;; 160.4
1917;1.917.455;6;; 167.9
1917;1.917.538;7;; 174.7
1917;1.917.623;8;; 175.7
1917;1.917.707;9;; 173.6
1917;1.917.790;10;; 172.5
1917;1.917.874;11;; 170.3
1917;1.917.958;12;; 163.8
1918;1.918.042;1;; 159.1
1918;1.918.123;2;; 154.6
1918;1.918.204;3;; 147.5
1918;1.918.288;4;; 145.0
1918;1.918.371;5;; 145.0
1918;1.918.455;6;; 139.2
1918;1.918.538;7;; 131.0
1918;1.918.623;8;; 128.6
1918;1.918.707;9;; 129.2
1918;1.918.790;10;; 126.9
1918;1.918.874;11;; 125.7
1918;1.918.958;12;; 130.0
1919;1.919.042;1;; 130.6
1919;1.919.123;2;; 125.4
1919;1.919.204;3;; 121.4
1919;1.919.288;4;; 117.4
1919;1.919.371;5;; 112.3
1919;1.919.455;6;; 107.7
1919;1.919.538;7;; 106.2
1919;1.919.623;8;; 104.6
1919;1.919.707;9;; 103.1
1919;1.919.790;10;; 100.8
1919;1.919.874;11;;  94.4
1919;1.919.958;12;;  85.6
1920;1.920.042;1;;  78.0
1920;1.920.124;2;;  71.9
1920;1.920.206;3;;  67.2
1920;1.920.290;4;;  65.7
1920;1.920.373;5;;  64.4
1920;1.920.456;6;;  63.1
1920;1.920.540;7;;  61.3
1920;1.920.624;8;;  58.2
1920;1.920.708;9;;  53.4
1920;1.920.791;10;;  51.6
1920;1.920.874;11;;  52.1
1920;1.920.958;12;;  51.0
1921;1.921.042;1;;  51.6
1921;1.921.123;2;;  52.9
1921;1.921.204;3;;  51.8
1921;1.921.288;4;;  48.3
1921;1.921.371;5;;  45.5
1921;1.921.455;6;;  44.2
1921;1.921.538;7;;  42.2
1921;1.921.623;8;;  40.7
1921;1.921.707;9;;  42.5
1921;1.921.790;10;;  42.9
1921;1.921.874;11;;  40.5
1921;1.921.958;12;;  37.6
1922;1.922.042;1;;  33.5
1922;1.922.123;2;;  30.2
1922;1.922.204;3;;  28.2
1922;1.922.288;4;;  26.4
1922;1.922.371;5;;  24.9
1922;1.922.455;6;;  24.0
1922;1.922.538;7;;  23.2
1922;1.922.623;8;;  21.0
1922;1.922.707;9;;  15.7
1922;1.922.790;10;;  11.8
1922;1.922.874;11;;  11.1
1922;1.922.958;12;;  11.0
1923;1.923.042;1;;  10.7
1923;1.923.123;2;;   9.8
1923;1.923.204;3;;  10.0
1923;1.923.288;4;;  10.9
1923;1.923.371;5;;  11.5
1923;1.923.455;6;;  10.7
1923;1.923.538;7;;   9.4
1923;1.923.623;8;;   9.4
1923;1.923.707;9;;   9.5
1923;1.923.790;10;;   9.8
1923;1.923.874;11;;  11.3
1923;1.923.958;12;;  13.6
1924;1.924.042;1;;  16.3
1924;1.924.124;2;;  19.3
1924;1.924.206;3;;  21.5
1924;1.924.290;4;;  23.3
1924;1.924.373;5;;  25.1
1924;1.924.456;6;;  26.9
1924;1.924.540;7;;  28.2
1924;1.924.624;8;;  29.8
1924;1.924.708;9;;  32.2
1924;1.924.791;10;;  34.7
1924;1.924.874;11;;  37.7
1924;1.924.958;12;;  40.8
1925;1.925.042;1;;  43.2
1925;1.925.123;2;;  45.2
1925;1.925.204;3;;  48.9
1925;1.925.288;4;;  54.4
1925;1.925.371;5;;  59.9
1925;1.925.455;6;;  68.2
1925;1.925.538;7;;  78.5
1925;1.925.623;8;;  86.3
1925;1.925.707;9;;  92.6
1925;1.925.790;10;;  96.2
1925;1.925.874;11;;  98.2
1925;1.925.958;12;; 101.4
1926;1.926.042;1;; 104.2
1926;1.926.123;2;; 106.8
1926;1.926.204;3;; 108.5
1926;1.926.288;4;; 108.7
1926;1.926.371;5;; 109.0
1926;1.926.455;6;; 107.8
1926;1.926.538;7;; 107.2
1926;1.926.623;8;; 109.4
1926;1.926.707;9;; 111.6
1926;1.926.790;10;; 115.9
1926;1.926.874;11;; 120.7
1926;1.926.958;12;; 120.8
1927;1.927.042;1;; 120.0
1927;1.927.123;2;; 119.6
1927;1.927.204;3;; 119.6
1927;1.927.288;4;; 119.5
1927;1.927.371;5;; 119.4
1927;1.927.455;6;; 117.5
1927;1.927.538;7;; 115.2
1927;1.927.623;8;; 114.0
1927;1.927.707;9;; 113.7
1927;1.927.790;10;; 113.9
1927;1.927.874;11;; 112.9
1927;1.927.958;12;; 115.0
1928;1.928.042;1;; 120.2
1928;1.928.124;2;; 125.3
1928;1.928.206;3;; 128.9
1928;1.928.290;4;; 130.2
1928;1.928.373;5;; 128.9
1928;1.928.456;6;; 128.7
1928;1.928.540;7;; 128.7
1928;1.928.624;8;; 126.9
1928;1.928.708;9;; 123.7
1928;1.928.791;10;; 119.4
1928;1.928.874;11;; 116.1
1928;1.928.958;12;; 113.5
1929;1.929.042;1;; 110.2
1929;1.929.123;2;; 107.0
1929;1.929.204;3;; 101.9
1929;1.929.288;4;;  97.5
1929;1.929.371;5;;  99.2
1929;1.929.455;6;; 104.7
1929;1.929.538;7;; 107.9
1929;1.929.623;8;; 106.7
1929;1.929.707;9;; 104.7
1929;1.929.790;10;; 102.7
1929;1.929.874;11;; 100.2
1929;1.929.958;12;;  95.7
1930;1.930.042;1;;  89.3
1930;1.930.123;2;;  83.2
1930;1.930.204;3;;  80.2
1930;1.930.288;4;;  78.6
1930;1.930.371;5;;  74.1
1930;1.930.455;6;;  65.2
1930;1.930.538;7;;  56.0
1930;1.930.623;8;;  52.0
1930;1.930.707;9;;  51.2
1930;1.930.790;10;;  50.4
1930;1.930.874;11;;  49.0
1930;1.930.958;12;;  47.2
1931;1.931.042;1;;  46.0
1931;1.931.123;2;;  44.9
1931;1.931.204;3;;  43.1
1931;1.931.288;4;;  40.5
1931;1.931.371;5;;  37.7
1931;1.931.455;6;;  35.9
1931;1.931.538;7;;  35.2
1931;1.931.623;8;;  32.8
1931;1.931.707;9;;  29.2
1931;1.931.790;10;;  26.5
1931;1.931.874;11;;  24.6
1931;1.931.958;12;;  24.7
1932;1.932.042;1;;  24.6
1932;1.932.124;2;;  23.6
1932;1.932.206;3;;  22.1
1932;1.932.290;4;;  21.0
1932;1.932.373;5;;  20.2
1932;1.932.456;6;;  19.0
1932;1.932.540;7;;  18.6
1932;1.932.624;8;;  19.4
1932;1.932.708;9;;  20.1
1932;1.932.791;10;;  19.5
1932;1.932.874;11;;  17.9
1932;1.932.958;12;;  15.7
1933;1.933.042;1;;  14.0
1933;1.933.123;2;;  13.1
1933;1.933.204;3;;  12.7
1933;1.933.288;4;;  12.4
1933;1.933.371;5;;  11.5
1933;1.933.455;6;;  10.2
1933;1.933.538;7;;   8.8
1933;1.933.623;8;;   7.2
1933;1.933.707;9;;   5.8
1933;1.933.790;10;;   6.0
1933;1.933.874;11;;   7.7
1933;1.933.958;12;;   9.0
1934;1.934.042;1;;   9.5
1934;1.934.123;2;;  10.5
1934;1.934.204;3;;  11.0
1934;1.934.288;4;;  11.1
1934;1.934.371;5;;  11.9
1934;1.934.455;6;;  13.5
1934;1.934.538;7;;  15.6
1934;1.934.623;8;;  17.5
1934;1.934.707;9;;  19.7
1934;1.934.790;10;;  21.1
1934;1.934.874;11;;  21.7
1934;1.934.958;12;;  24.9
1935;1.935.042;1;;  29.3
1935;1.935.123;2;;  32.6
1935;1.935.204;3;;  36.7
1935;1.935.288;4;;  42.7
1935;1.935.371;5;;  49.8
1935;1.935.455;6;;  56.9
1935;1.935.538;7;;  63.1
1935;1.935.623;8;;  69.9
1935;1.935.707;9;;  77.4
1935;1.935.790;10;;  85.5
1935;1.935.874;11;;  91.8
1935;1.935.958;12;;  95.3
1936;1.936.042;1;;  98.3
1936;1.936.124;2;; 103.5
1936;1.936.206;3;; 109.8
1936;1.936.290;4;; 114.7
1936;1.936.373;5;; 120.7
1936;1.936.456;6;; 128.6
1936;1.936.540;7;; 137.7
1936;1.936.624;8;; 146.3
1936;1.936.708;9;; 150.5
1936;1.936.791;10;; 153.4
1936;1.936.874;11;; 160.1
1936;1.936.958;12;; 168.6
1937;1.937.042;1;; 179.2
1937;1.937.123;2;; 189.2
1937;1.937.204;3;; 194.4
1937;1.937.288;4;; 198.6
1937;1.937.371;5;; 198.3
1937;1.937.455;6;; 193.0
1937;1.937.538;7;; 188.3
1937;1.937.623;8;; 185.2
1937;1.937.707;9;; 184.8
1937;1.937.790;10;; 184.4
1937;1.937.874;11;; 184.6
1937;1.937.958;12;; 183.0
1938;1.938.042;1;; 182.2
1938;1.938.123;2;; 182.1
1938;1.938.204;3;; 179.8
1938;1.938.288;4;; 177.2
1938;1.938.371;5;; 178.7
1938;1.938.455;6;; 182.3
1938;1.938.538;7;; 181.4
1938;1.938.623;8;; 177.2
1938;1.938.707;9;; 172.8
1938;1.938.790;10;; 171.8
1938;1.938.874;11;; 171.8
1938;1.938.958;12;; 171.4
1939;1.939.042;1;; 166.9
1939;1.939.123;2;; 161.5
1939;1.939.204;3;; 162.4
1939;1.939.288;4;; 163.3
1939;1.939.371;5;; 158.8
1939;1.939.455;6;; 151.5
1939;1.939.538;7;; 145.9
1939;1.939.623;8;; 142.6
1939;1.939.707;9;; 142.6
1939;1.939.790;10;; 140.6
1939;1.939.874;11;; 132.7
1939;1.939.958;12;; 127.1
1940;1.940.042;1;; 123.8
1940;1.940.124;2;; 121.7
1940;1.940.206;3;; 118.5
1940;1.940.290;4;; 113.0
1940;1.940.373;5;; 110.0
1940;1.940.456;6;; 111.1
1940;1.940.540;7;; 112.6
1940;1.940.624;8;; 111.3
1940;1.940.708;9;; 107.7
1940;1.940.791;10;; 103.2
1940;1.940.874;11;;  99.5
1940;1.940.958;12;;  96.1
1941;1.941.042;1;;  94.4
1941;1.941.123;2;;  91.2
1941;1.941.204;3;;  88.0
1941;1.941.288;4;;  87.3
1941;1.941.371;5;;  85.3
1941;1.941.455;6;;  81.6
1941;1.941.538;7;;  78.5
1941;1.941.623;8;;  78.3
1941;1.941.707;9;;  79.4
1941;1.941.790;10;;  81.9
1941;1.941.874;11;;  83.6
1941;1.941.958;12;;  79.9
1942;1.942.042;1;;  73.1
1942;1.942.123;2;;  67.0
1942;1.942.204;3;;  60.8
1942;1.942.288;4;;  55.5
1942;1.942.371;5;;  53.1
1942;1.942.455;6;;  51.8
1942;1.942.538;7;;  49.4
1942;1.942.623;8;;  46.2
1942;1.942.707;9;;  42.6
1942;1.942.790;10;;  38.4
1942;1.942.874;11;;  35.2
1942;1.942.958;12;;  34.2
1943;1.943.042;1;;  33.6
1943;1.943.123;2;;  33.2
1943;1.943.204;3;;  32.7
1943;1.943.288;4;;  31.4
1943;1.943.371;5;;  29.2
1943;1.943.455;6;;  27.5
1943;1.943.538;7;;  26.6
1943;1.943.623;8;;  24.0
1943;1.943.707;9;;  20.9
1943;1.943.790;10;;  18.0
1943;1.943.874;11;;  15.4
1943;1.943.958;12;;  14.4
1944;1.944.042;1;;  13.6
1944;1.944.124;2;;  12.9
1944;1.944.206;3;;  13.0
1944;1.944.290;4;;  13.9
1944;1.944.373;5;;  14.6
1944;1.944.456;6;;  15.3
1944;1.944.540;7;;  17.0
1944;1.944.624;8;;  18.9
1944;1.944.708;9;;  20.4
1944;1.944.791;10;;  23.4
1944;1.944.874;11;;  27.5
1944;1.944.958;12;;  31.7
1945;1.945.042;1;;  36.4
1945;1.945.123;2;;  39.7
1945;1.945.204;3;;  41.7
1945;1.945.288;4;;  46.8
1945;1.945.371;5;;  52.8
1945;1.945.455;6;;  55.2
1945;1.945.538;7;;  57.1
1945;1.945.623;8;;  64.3
1945;1.945.707;9;;  73.2
1945;1.945.790;10;;  80.1
1945;1.945.874;11;;  86.9
1945;1.945.958;12;;  93.2
1946;1.946.042;1;; 101.0
1946;1.946.123;2;; 111.7
1946;1.946.204;3;; 121.5
1946;1.946.288;4;; 128.0
1946;1.946.371;5;; 135.7
1946;1.946.455;6;; 147.7
1946;1.946.538;7;; 157.7
1946;1.946.623;8;; 163.1
1946;1.946.707;9;; 167.3
1946;1.946.790;10;; 173.3
1946;1.946.874;11;; 182.8
1946;1.946.958;12;; 193.4
1947;1.947.042;1;; 199.2
1947;1.947.123;2;; 204.1
1947;1.947.204;3;; 211.2
1947;1.947.288;4;; 217.2
1947;1.947.371;5;; 218.7
1947;1.947.455;6;; 216.1
1947;1.947.538;7;; 214.1
1947;1.947.623;8;; 210.9
1947;1.947.707;9;; 206.0
1947;1.947.790;10;; 206.3
1947;1.947.874;11;; 207.1
1947;1.947.958;12;; 205.7
1948;1.948.042;1;; 205.0
1948;1.948.124;2;; 202.3
1948;1.948.206;3;; 198.9
1948;1.948.290;4;; 195.7
1948;1.948.373;5;; 192.2
1948;1.948.456;6;; 191.6
1948;1.948.540;7;; 193.5
1948;1.948.624;8;; 199.8
1948;1.948.708;9;; 209.1
1948;1.948.791;10;; 210.3
1948;1.948.874;11;; 203.8
1948;1.948.958;12;; 197.1
1949;1.949.042;1;; 193.4
1949;1.949.123;2;; 190.4
1949;1.949.204;3;; 188.5
1949;1.949.288;4;; 188.4
1949;1.949.371;5;; 190.9
1949;1.949.455;6;; 192.5
1949;1.949.538;7;; 190.3
1949;1.949.623;8;; 184.1
1949;1.949.707;9;; 176.1
1949;1.949.790;10;; 171.4
1949;1.949.874;11;; 169.4
1949;1.949.958;12;; 167.1
1950;1.950.042;1;; 162.8
1950;1.950.123;2;; 158.5
1950;1.950.204;3;; 150.7
1950;1.950.288;4;; 141.0
1950;1.950.371;5;; 131.6
1950;1.950.455;6;; 122.6
1950;1.950.538;7;; 116.4
1950;1.950.623;8;; 111.9
1950;1.950.707;9;; 106.7
1950;1.950.790;10;; 102.3
1950;1.950.874;11;; 101.2
1950;1.950.958;12;; 102.4
1951;1.951.042;1;; 101.6
1951;1.951.123;2;;  98.5
1951;1.951.204;3;;  98.9
1951;1.951.288;4;; 100.2
1951;1.951.371;5;;  99.5
1951;1.951.455;6;;  98.9
1951;1.951.538;7;;  97.3
1951;1.951.623;8;;  94.0
1951;1.951.707;9;;  89.8
1951;1.951.790;10;;  84.0
1951;1.951.874;11;;  75.3
1951;1.951.958;12;;  66.5
1952;1.952.042;1;;  61.5
1952;1.952.124;2;;  59.8
1952;1.952.206;3;;  56.2
1952;1.952.290;4;;  51.4
1952;1.952.373;5;;  48.0
1952;1.952.456;6;;  45.5
1952;1.952.540;7;;  44.0
1952;1.952.624;8;;  42.1
1952;1.952.708;9;;  40.3
1952;1.952.791;10;;  39.5
1952;1.952.874;11;;  38.8
1952;1.952.958;12;;  37.3
1953;1.953.042;1;;  34.6
1953;1.953.123;2;;  31.0
1953;1.953.204;3;;  28.6
1953;1.953.288;4;;  27.2
1953;1.953.371;5;;  25.0
1953;1.953.455;6;;  22.0
1953;1.953.538;7;;  18.5
1953;1.953.623;8;;  16.7
1953;1.953.707;9;;  16.6
1953;1.953.790;10;;  15.1
1953;1.953.874;11;;  12.8
1953;1.953.958;12;;  10.8
1954;1.954.042;1;;   9.3
1954;1.954.123;2;;   8.2
1954;1.954.204;3;;   6.3
1954;1.954.288;4;;   5.1
1954;1.954.371;5;;   5.5
1954;1.954.455;6;;   6.3
1954;1.954.538;7;;   7.9
1954;1.954.623;8;;  10.5
