Jahr;Jahr segment;Monat;;Sonnenflecken
1775;1.775.288;4;;  13.2
1775;1.775.371;5;;  12.5
1775;1.775.455;6;;  12.0
1775;1.775.538;7;;  12.9
1775;1.775.623;8;;  14.9
1775;1.775.707;9;;  15.3
1775;1.775.790;10;;  15.7
1775;1.775.874;11;;  16.9
1775;1.775.958;12;;  17.9
1776;1.776.042;1;;  18.4
1776;1.776.124;2;;  19.5
1776;1.776.206;3;;  21.5
1776;1.776.290;4;;  24.1
1776;1.776.373;5;;  27.2
1776;1.776.456;6;;  30.8
1776;1.776.540;7;;  34.7
1776;1.776.624;8;;  38.0
1776;1.776.708;9;;  42.0
1776;1.776.791;10;;  49.4
1776;1.776.874;11;;  59.3
1776;1.776.958;12;;  68.4
1777;1.777.042;1;;  79.2
1777;1.777.123;2;;  91.8
1777;1.777.204;3;; 104.9
1777;1.777.288;4;; 117.1
1777;1.777.371;5;; 130.2
1777;1.777.455;6;; 146.0
1777;1.777.538;7;; 163.4
1777;1.777.623;8;; 177.6
1777;1.777.707;9;; 189.3
1777;1.777.790;10;; 199.3
1777;1.777.874;11;; 213.7
1777;1.777.958;12;; 231.1
1778;1.778.042;1;; 241.4
1778;1.778.123;2;; 247.4
1778;1.778.204;3;; 253.2
1778;1.778.288;4;; 260.5
1778;1.778.371;5;; 264.3
1778;1.778.455;6;; 260.9
1778;1.778.538;7;; 252.9
1778;1.778.623;8;; 252.5
1778;1.778.707;9;; 255.3
1778;1.778.790;10;; 254.2
1778;1.778.874;11;; 247.3
1778;1.778.958;12;; 236.4
1779;1.779.042;1;; 231.7
1779;1.779.123;2;; 229.1
1779;1.779.204;3;; 222.9
1779;1.779.288;4;; 216.5
1779;1.779.371;5;; 211.7
1779;1.779.455;6;; 209.5
1779;1.779.538;7;; 206.8
1779;1.779.623;8;; 199.0
1779;1.779.707;9;; 192.9
1779;1.779.790;10;; 188.0
1779;1.779.874;11;; 182.3
1779;1.779.958;12;; 178.2
1780;1.780.042;1;; 172.5
1780;1.780.124;2;; 166.7
1780;1.780.206;3;; 163.7
1780;1.780.290;4;; 159.2
1780;1.780.373;5;; 152.2
1780;1.780.456;6;; 144.9
1780;1.780.540;7;; 143.3
1780;1.780.624;8;; 143.7
1780;1.780.708;9;; 139.0
1780;1.780.791;10;; 134.0
1780;1.780.874;11;; 131.9
1780;1.780.958;12;; 132.4
1781;1.781.042;1;; 132.2
1781;1.781.123;2;; 130.0
1781;1.781.204;3;; 125.6
1781;1.781.288;4;; 119.2
1781;1.781.371;5;; 116.3
1781;1.781.455;6;; 115.1
1781;1.781.538;7;; 110.4
1781;1.781.623;8;; 104.7
1781;1.781.707;9;; 101.0
1781;1.781.790;10;;  98.0
1781;1.781.874;11;;  92.6
1781;1.781.958;12;;  85.0
1782;1.782.042;1;;  78.3
1782;1.782.123;2;;  74.2
1782;1.782.204;3;;  71.5
1782;1.782.288;4;;  70.0
1782;1.782.371;5;;  67.3
1782;1.782.455;6;;  64.5
1782;1.782.538;7;;  62.3
1782;1.782.623;8;;  60.6
1782;1.782.707;9;;  59.9
1782;1.782.790;10;;  58.3
1782;1.782.874;11;;  55.3
1782;1.782.958;12;;  52.2
1783;1.783.042;1;;  51.0
1783;1.783.123;2;;  49.0
1783;1.783.204;3;;  46.2
1783;1.783.288;4;;  44.1
1783;1.783.371;5;;  41.9
1783;1.783.455;6;;  39.4
1783;1.783.538;7;;  37.0
1783;1.783.623;8;;  33.8
1783;1.783.707;9;;  30.6
1783;1.783.790;10;;  28.2
1783;1.783.874;11;;  25.7
1783;1.783.958;12;;  23.4
1784;1.784.042;1;;  20.5
1784;1.784.124;2;;  18.0
1784;1.784.206;3;;  16.7
1784;1.784.290;4;;  16.2
1784;1.784.373;5;;  16.3
1784;1.784.456;6;;  16.7
1784;1.784.540;7;;  16.5
1784;1.784.624;8;;  16.0
1784;1.784.708;9;;  15.9
1784;1.784.791;10;;  16.2
1784;1.784.874;11;;  17.6
1784;1.784.958;12;;  19.8
1785;1.785.042;1;;  23.1
1785;1.785.123;2;;  25.9
1785;1.785.204;3;;  28.1
1785;1.785.288;4;;  32.4
1785;1.785.371;5;;  36.7
1785;1.785.455;6;;  39.2
1785;1.785.538;7;;  42.3
1785;1.785.623;8;;  47.2
1785;1.785.707;9;;  52.6
1785;1.785.790;10;;  60.1
1785;1.785.874;11;;  69.9
1785;1.785.958;12;;  77.2
1786;1.786.042;1;;  82.7
1786;1.786.123;2;;  90.8
1786;1.786.204;3;; 101.1
1786;1.786.288;4;; 111.2
1786;1.786.371;5;; 121.0
1786;1.786.455;6;; 132.2
1786;1.786.538;7;; 144.9
1786;1.786.623;8;; 155.7
1786;1.786.707;9;; 162.5
1786;1.786.790;10;; 168.2
1786;1.786.874;11;; 174.0
1786;1.786.958;12;; 179.8
1787;1.787.042;1;; 185.7
1787;1.787.123;2;; 192.1
1787;1.787.204;3;; 198.6
1787;1.787.288;4;; 204.9
1787;1.787.371;5;; 209.8
1787;1.787.455;6;; 215.8
1787;1.787.538;7;; 220.3
1787;1.787.623;8;; 222.1
1787;1.787.707;9;; 227.6
1787;1.787.790;10;; 230.2
1787;1.787.874;11;; 227.4
1787;1.787.958;12;; 229.7
1788;1.788.042;1;; 234.4
1788;1.788.124;2;; 235.3
1788;1.788.206;3;; 234.1
1788;1.788.290;4;; 231.9
1788;1.788.373;5;; 227.6
1788;1.788.456;6;; 221.3
1788;1.788.540;7;; 216.5
1788;1.788.624;8;; 214.6
1788;1.788.708;9;; 212.7
1788;1.788.791;10;; 212.1
1788;1.788.874;11;; 213.8
1788;1.788.958;12;; 212.2
1789;1.789.042;1;; 208.1
1789;1.789.123;2;; 204.1
1789;1.789.204;3;; 199.8
1789;1.789.288;4;; 194.2
1789;1.789.371;5;; 193.3
1789;1.789.455;6;; 196.4
1789;1.789.538;7;; 196.1
1789;1.789.623;8;; 195.5
1789;1.789.707;9;; 194.0
1789;1.789.790;10;; 190.3
1789;1.789.874;11;; 186.1
1789;1.789.958;12;; 182.0
1790;1.790.042;1;; 176.7
1790;1.790.123;2;; 172.3
1790;1.790.204;3;; 168.7
1790;1.790.288;4;; 166.0
1790;1.790.371;5;; 162.0
1790;1.790.455;6;; 154.1
1790;1.790.538;7;; 147.7
1790;1.790.623;8;; 141.1
1790;1.790.707;9;; 135.0
1790;1.790.790;10;; 132.2
1790;1.790.874;11;; 129.7
1790;1.790.958;12;; 126.5
1791;1.791.042;1;; 124.8
1791;1.791.123;2;; 121.9
1791;1.791.204;3;; 118.1
1791;1.791.288;4;; 115.7
1791;1.791.371;5;; 113.1
1791;1.791.455;6;; 111.5
1791;1.791.538;7;; 109.9
1791;1.791.623;8;; 109.1
1791;1.791.707;9;; 108.4
1791;1.791.790;10;; 107.6
1791;1.791.874;11;; 106.7
1791;1.791.958;12;; 105.6
1792;1.792.042;1;; 103.7
1792;1.792.124;2;; 103.1
1792;1.792.206;3;; 103.7
1792;1.792.290;4;; 103.0
1792;1.792.373;5;; 102.2
1792;1.792.456;6;; 100.8
1792;1.792.540;7;;  99.9
1792;1.792.624;8;;  99.2
1792;1.792.708;9;;  98.0
1792;1.792.791;10;;  95.9
1792;1.792.874;11;;  93.7
1792;1.792.958;12;;  92.3
1793;1.793.042;1;;  91.9
1793;1.793.123;2;;  90.1
1793;1.793.204;3;;  85.5
1793;1.793.288;4;;  82.2
1793;1.793.371;5;;  80.5
1793;1.793.455;6;;  78.9
1793;1.793.538;7;;  77.4
1793;1.793.623;8;;  75.9
1793;1.793.707;9;;  73.9
1793;1.793.790;10;;  71.0
1793;1.793.874;11;;  69.5
1793;1.793.958;12;;  69.1
1794;1.794.042;1;;  67.8
1794;1.794.123;2;;  67.9
1794;1.794.204;3;;  67.7
1794;1.794.288;4;;  65.6
1794;1.794.371;5;;  65.9
1794;1.794.455;6;;  67.9
1794;1.794.538;7;;  66.7
1794;1.794.623;8;;  64.8
1794;1.794.707;9;;  62.7
1794;1.794.790;10;;  60.3
1794;1.794.874;11;;  57.9
1794;1.794.958;12;;  54.5
1795;1.795.042;1;;  50.8
1795;1.795.123;2;;  47.9
1795;1.795.204;3;;  47.1
1795;1.795.288;4;;  46.6
1795;1.795.371;5;;  43.0
1795;1.795.455;6;;  37.8
1795;1.795.538;7;;  35.5
1795;1.795.623;8;;  34.4
1795;1.795.707;9;;  33.5
1795;1.795.790;10;;  34.6
1795;1.795.874;11;;  34.9
1795;1.795.958;12;;  33.4
1796;1.796.042;1;;  33.7
1796;1.796.124;2;;  33.0
1796;1.796.206;3;;  31.6
1796;1.796.290;4;;  31.4
1796;1.796.373;5;;  29.6
1796;1.796.456;6;;  27.6
1796;1.796.540;7;;  26.2
1796;1.796.624;8;;  24.3
1796;1.796.708;9;;  22.1
1796;1.796.791;10;;  19.4
1796;1.796.874;11;;  16.5
1796;1.796.958;12;;  15.9
1797;1.797.042;1;;  14.6
1797;1.797.123;2;;  13.3
1797;1.797.204;3;;  12.8
1797;1.797.288;4;;  11.6
1797;1.797.371;5;;  11.1
1797;1.797.455;6;;  10.8
1797;1.797.538;7;;   9.8
1797;1.797.623;8;;   8.9
1797;1.797.707;9;;   9.5
1797;1.797.790;10;;   9.9
1797;1.797.874;11;;   9.2
1797;1.797.958;12;;   7.9
1798;1.798.042;1;;   6.8
1798;1.798.123;2;;   6.3
1798;1.798.204;3;;   5.9
1798;1.798.288;4;;   5.3
1798;1.798.371;5;;   5.4
1798;1.798.455;6;;   6.3
1798;1.798.538;7;;   6.7
1798;1.798.623;8;;   7.3
1798;1.798.707;9;;   8.6
1798;1.798.790;10;;   9.7
1798;1.798.874;11;;  10.8
1798;1.798.958;12;;  12.1
1799;1.799.042;1;;  13.0
1799;1.799.123;2;;  12.9
1799;1.799.204;3;;  12.5
1799;1.799.288;4;;  12.6
1799;1.799.371;5;;  12.1
1799;1.799.455;6;;  11.4
1799;1.799.538;7;;  11.6
1799;1.799.623;8;;  11.8
1799;1.799.707;9;;  11.0
1799;1.799.790;10;;   9.9
1799;1.799.874;11;;   9.1
1799;1.799.958;12;;   9.8
1800;1.800.042;1;;  12.0
1800;1.800.123;2;;  14.6
1800;1.800.204;3;;  16.8
1800;1.800.288;4;;  18.1
1800;1.800.371;5;;  19.2
1800;1.800.455;6;;  21.9
1800;1.800.538;7;;  25.5
1800;1.800.623;8;;  28.3
1800;1.800.707;9;;  30.8
1800;1.800.790;10;;  34.0
1800;1.800.874;11;;  38.1
1800;1.800.958;12;;  40.5
1801;1.801.042;1;;  42.0
1801;1.801.123;2;;  44.3
1801;1.801.204;3;;  47.1
1801;1.801.288;4;;  50.1
1801;1.801.371;5;;  53.5
1801;1.801.455;6;;  56.1
1801;1.801.538;7;;  58.1
1801;1.801.623;8;;  60.8
1801;1.801.707;9;;  62.8
1801;1.801.790;10;;  64.3
1801;1.801.874;11;;  65.9
1801;1.801.958;12;;  67.8
1802;1.802.042;1;;  69.7
1802;1.802.123;2;;  71.4
1802;1.802.204;3;;  73.4
1802;1.802.288;4;;  75.1
1802;1.802.371;5;;  75.2
1802;1.802.455;6;;  74.9
1802;1.802.538;7;;  75.2
1802;1.802.623;8;;  75.6
1802;1.802.707;9;;  75.1
1802;1.802.790;10;;  73.1
1802;1.802.874;11;;  72.0
1802;1.802.958;12;;  71.3
1803;1.803.042;1;;  70.6
1803;1.803.123;2;;  69.5
1803;1.803.204;3;;  68.0
1803;1.803.288;4;;  68.6
1803;1.803.371;5;;  70.9
1803;1.803.455;6;;  71.9
1803;1.803.538;7;;  71.4
1803;1.803.623;8;;  70.9
1803;1.803.707;9;;  72.0
1803;1.803.790;10;;  75.1
1803;1.803.874;11;;  76.1
1803;1.803.958;12;;  75.3
1804;1.804.042;1;;  73.9
1804;1.804.124;2;;  73.3
1804;1.804.206;3;;  74.4
1804;1.804.290;4;;  75.5
1804;1.804.373;5;;  76.7
1804;1.804.456;6;;  78.3
1804;1.804.540;7;;  80.2
1804;1.804.624;8;;  81.0
1804;1.804.708;9;;  80.9
1804;1.804.791;10;;  80.3
1804;1.804.874;11;;  79.8
1804;1.804.958;12;;  80.5
1805;1.805.042;1;;  81.5
1805;1.805.123;2;;  82.0
1805;1.805.204;3;;  81.4
1805;1.805.288;4;;  78.5
1805;1.805.371;5;;  74.8
1805;1.805.455;6;;  71.9
1805;1.805.538;7;;  68.9
1805;1.805.623;8;;  66.3
1805;1.805.707;9;;  64.0
1805;1.805.790;10;;  62.1
1805;1.805.874;11;;  60.5
1805;1.805.958;12;;  58.6
1806;1.806.042;1;;  57.0
1806;1.806.123;2;;  55.4
1806;1.806.204;3;;  52.8
1806;1.806.288;4;;  51.2
1806;1.806.371;5;;  49.9
1806;1.806.455;6;;  47.8
1806;1.806.538;7;;  45.0
1806;1.806.623;8;;  41.9
1806;1.806.707;9;;  39.1
1806;1.806.790;10;;  37.2
1806;1.806.874;11;;  35.8
1806;1.806.958;12;;  33.7
1807;1.807.042;1;;  31.6
1807;1.807.123;2;;  29.4
1807;1.807.204;3;;  27.1
1807;1.807.288;4;;  24.5
1807;1.807.371;5;;  21.6
1807;1.807.455;6;;  18.4
1807;1.807.538;7;;  15.9
1807;1.807.623;8;;  14.6
1807;1.807.707;9;;  13.4
1807;1.807.790;10;;  11.9
1807;1.807.874;11;;  11.3
1807;1.807.958;12;;  11.7
1808;1.808.042;1;;  11.4
1808;1.808.124;2;;  10.7
1808;1.808.206;3;;  10.8
1808;1.808.290;4;;  11.0
1808;1.808.373;5;;  11.3
1808;1.808.456;6;;  12.7
1808;1.808.540;7;;  14.1
1808;1.808.624;8;;  14.9
1808;1.808.708;9;;  15.3
1808;1.808.791;10;;  14.7
1808;1.808.874;11;;  13.2
1808;1.808.958;12;;  12.0
1809;1.809.042;1;;  11.1
1809;1.809.123;2;;  10.1
1809;1.809.204;3;;   8.8
1809;1.809.288;4;;   7.7
1809;1.809.371;5;;   6.7
1809;1.809.455;6;;   5.1
1809;1.809.538;7;;   3.7
1809;1.809.623;8;;   2.6
1809;1.809.707;9;;   1.9
1809;1.809.790;10;;   1.6
1809;1.809.874;11;;   1.3
1809;1.809.958;12;;   0.7
1810;1.810.042;1;;   0.1
1810;1.810.123;2;;   0.1
1810;1.810.204;3;;   0.0
1810;1.810.288;4;;   0.0
1810;1.810.371;5;;   0.0
1810;1.810.455;6;;   0.0
1810;1.810.538;7;;   0.0
1810;1.810.623;8;;   0.0
1810;1.810.707;9;;   0.0
1810;1.810.790;10;;   0.0
1810;1.810.874;11;;   0.0
1810;1.810.958;12;;   0.0
1811;1.811.042;1;;   0.5
1811;1.811.123;2;;   0.9
1811;1.811.204;3;;   1.1
1811;1.811.288;4;;   1.7
1811;1.811.371;5;;   2.2
1811;1.811.455;6;;   2.3
1811;1.811.538;7;;   3.1
1811;1.811.623;8;;   4.1
1811;1.811.707;9;;   4.2
1811;1.811.790;10;;   4.3
1811;1.811.874;11;;   4.4
1811;1.811.958;12;;   4.5
1812;1.812.042;1;;   4.2
1812;1.812.124;2;;   4.9
1812;1.812.206;3;;   6.1
1812;1.812.290;4;;   6.2
1812;1.812.373;5;;   6.5
1812;1.812.456;6;;   7.6
1812;1.812.540;7;;   7.5
1812;1.812.624;8;;   7.3
1812;1.812.708;9;;   7.9
1812;1.812.791;10;;   9.2
1812;1.812.874;11;;  10.6
1812;1.812.958;12;;  11.6
1813;1.813.042;1;;  13.6
1813;1.813.123;2;;  14.3
1813;1.813.204;3;;  14.5
1813;1.813.288;4;;  16.9
1813;1.813.371;5;;  19.1
1813;1.813.455;6;;  20.0
1813;1.813.538;7;;  21.9
1813;1.813.623;8;;  23.5
1813;1.813.707;9;;  23.9
1813;1.813.790;10;;  24.7
1813;1.813.874;11;;  25.2
1813;1.813.958;12;;  25.5
1814;1.814.042;1;;  25.7
1814;1.814.123;2;;  25.3
1814;1.814.204;3;;  24.4
1814;1.814.288;4;;  23.3
1814;1.814.371;5;;  22.6
1814;1.814.455;6;;  22.8
1814;1.814.538;7;;  23.0
1814;1.814.623;8;;  24.2
1814;1.814.707;9;;  27.0
1814;1.814.790;10;;  29.0
1814;1.814.874;11;;  29.8
1814;1.814.958;12;;  33.0
1815;1.815.042;1;;  37.0
1815;1.815.123;2;;  41.3
1815;1.815.204;3;;  46.0
1815;1.815.288;4;;  48.6
1815;1.815.371;5;;  51.2
1815;1.815.455;6;;  55.9
1815;1.815.538;7;;  59.5
1815;1.815.623;8;;  62.5
1815;1.815.707;9;;  68.4
1815;1.815.790;10;;  73.6
1815;1.815.874;11;;  77.8
1815;1.815.958;12;;  79.4
1816;1.816.042;1;;  78.8
1816;1.816.124;2;;  77.3
1816;1.816.206;3;;  76.8
1816;1.816.290;4;;  79.5
1816;1.816.373;5;;  81.2
1816;1.816.456;6;;  78.8
1816;1.816.540;7;;  77.1
1816;1.816.624;8;;  77.0
1816;1.816.708;9;;  77.8
1816;1.816.791;10;;  77.1
1816;1.816.874;11;;  73.3
1816;1.816.958;12;;  71.4
1817;1.817.042;1;;  71.9
1817;1.817.123;2;;  74.2
1817;1.817.204;3;;  75.0
1817;1.817.288;4;;  72.1
1817;1.817.371;5;;  69.3
1817;1.817.455;6;;  68.5
1817;1.817.538;7;;  68.3
1817;1.817.623;8;;  65.8
